Tag Combination,Count
shapes mentioned_mapped_clean_Flat,48
ingredients mentioned in the flavor names_mapped_clean_Lime,45
ingredients mentioned in the flavor names_mapped_clean_Tomatoes,44
ingredients mentioned in the flavor names_mapped_clean_Bacon,41
types of snack does it describe_mapped_clean_Pretzels,40
one product or product mix_mapped_clean_Product Mix,40
explicitly claimed health or lifestyle benefits_mapped_clean_Filling,39
explicitly claimed health or lifestyle benefits_mapped_clean_No preservatives,39
ingredients mentioned in the flavor names_mapped_clean_Fruit,37
types of snack does it describe_mapped_clean_Crisps,36
ingredients mentioned in the flavor names_mapped_clean_Onion,36
ingredients mentioned in the flavor names_mapped_clean_Garlic,36
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Energy for exercise",36
multipack or single serving_mapped_clean_Single Serving,35
types of snack does it describe_mapped_clean_Wholegrain,34
ingredients mentioned in the flavor names_mapped_clean_Sour Cream,34
explicitly claimed health or lifestyle benefits_mapped_clean_Plant Based,31
shapes mentioned_mapped_clean_Clusters,31
ingredients mentioned in the flavor names_mapped_clean_BBQ,30
"types of snack does it describe_mapped_clean_Snack Mix, Trail Mix",29
textures described_mapped_clean_creamy,27
shapes mentioned_mapped_clean_Twisted,26
ingredients mentioned in the flavor names_mapped_clean_Vanilla,24
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Sharing",24
shapes mentioned_mapped_clean_Sticks,24
shapes mentioned_mapped_clean_Round,22
ingredients mentioned in the flavor names_mapped_clean_Lemon,22
preparation or cooking method_mapped_clean_Popped,22
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_as an alternative to potato crisps",20
taste profile_mapped_clean_Smoky,20
explicitly claimed health or lifestyle benefits_mapped_clean_non Genetically Modified non GMO,19
explicitly claimed health or lifestyle benefits_mapped_clean_Wholegrain,18
shapes mentioned_mapped_clean_Thins,18
textures described_mapped_clean_Tender,18
shapes mentioned_mapped_clean_Triangular,17
shapes mentioned_mapped_clean_Rings,17
taste profile_mapped_clean_Umami,17
multipack or single serving_mapped_clean_Multipack,17
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_At a party",15
types of snack does it describe_mapped_clean_Seeds,15
types of snack does it describe_mapped_clean_Nuts,14
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Complement a meal",13
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_For breakfast, lunch or dinner",13
textures described_mapped_clean_Chewy,13
explicitly claimed health or lifestyle benefits_mapped_clean_Source of Fibre,13
calorie count specified_mapped_clean_Specified,12
shapes mentioned_mapped_clean_Wavy,11
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Brain fuel / focus",11
ingredients mentioned in the flavor names_mapped_clean_Beef,10
explicitly claimed health or lifestyle benefits_mapped_clean_Gluten free,10
cuisines of origin_mapped_clean_Mediterranean,10
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Lunchbox friendly",10
explicitly claimed health or lifestyle benefits_mapped_clean_Provides energy,10
explicitly claimed health or lifestyle benefits_mapped_clean_Low fat or Reduced fat,10
"explicitly claimed health or lifestyle benefits_mapped_clean_Light and airy, won't weigh you down",10
preparation or cooking method_mapped_clean_Kettle Cooked,10
taste profile_mapped_clean_Nutty,9
ingredients mentioned in the flavor names_mapped_clean_Yogurt,9
textures described_mapped_clean_smooth,9
ingredients mentioned in the flavor names_mapped_clean_Barbecue,9
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Pairing with drinks",9
preparation or cooking method_mapped_clean_Dried,9
types of snack does it describe_mapped_clean_Dips,9
shapes mentioned_mapped_clean_Ridged,9
textures described_mapped_clean_Meaty,8
preparation or cooking method_mapped_clean_Roasted,8
cuisines of origin_mapped_clean_Mexican,8
shapes mentioned_mapped_clean_Scoopable,8
taste profile_mapped_clean_Buttery,8
textures described_mapped_clean_Soft,8
explicitly claimed health or lifestyle benefits_mapped_clean_Low calories,8
textures described_mapped_clean_Flaky,8
taste profile_mapped_clean_Herbal,8
preparation or cooking method_mapped_clean_Panfried,8
multipack or single serving_mapped_clean_Both (multi-serve bag and individual sized bag),7
shapes mentioned_mapped_clean_Spirals,7
preparation or cooking method_mapped_clean_Coated,7
taste profile_mapped_clean_Yeasty,7
preparation or cooking method_mapped_clean_Toasted,7
taste profile_mapped_clean_Fruity,7
types of snack does it describe_mapped_clean_Jerky,6
preparation or cooking method_mapped_clean_Wood-fired,6
preparation or cooking method_mapped_clean_Stewed,6
preparation or cooking method_mapped_clean_Deepfried,6
preparation or cooking method_mapped_clean_Stirfried,6
cuisines of origin_mapped_clean_Indian,6
types of snack does it describe_mapped_clean_Bar,5
multipack or single serving_mapped_clean_Not specified,5
cuisines of origin_mapped_clean_Italian,5
ingredients mentioned in the flavor names_mapped_clean_Vinegar,5
taste profile_mapped_clean_Earthy,5
ingredients mentioned in the flavor names_mapped_clean_Olive Oil,5
explicitly claimed health or lifestyle benefits_mapped_clean_Organic,5
ingredients mentioned in the flavor names_mapped_clean_Pizza,4
types of snack does it describe_mapped_clean_Meat Based,4
types of snack does it describe_mapped_clean_Pitta,4
ingredients mentioned in the flavor names_mapped_clean_Chicken,3
shapes mentioned_mapped_clean_Paw shaped,3
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Watching TV",3
types of snack does it describe_mapped_clean_Pork Rind/Scratchings,3
textures described_mapped_clean_sticky,3
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_Gaming",3
types of snack does it describe_mapped_clean_Bean,3
cuisines of origin_mapped_clean_Japanese,3
cuisines of origin_mapped_clean_Thai,2
cuisines of origin_mapped_clean_Spanish,2
ingredients mentioned in the flavor names_mapped_clean_Sriracha,2
taste profile_mapped_clean_Bitter,2
cuisines of origin_mapped_clean_French,2
types of snack does it describe_mapped_clean_Fruit,2
shapes mentioned_mapped_clean_Lattice,2
taste profile_mapped_clean_Sour,2
explicitly claimed health or lifestyle benefits_mapped_clean_Vegan,2
taste profile_mapped_clean_Seasoned,2
explicitly claimed health or lifestyle benefits_mapped_clean_Low carbohydrate,2
taste profile_mapped_clean_Caramelized,2
shapes mentioned_mapped_clean_Curly,1
taste profile_mapped_clean_Cool/Minty,1
preparation or cooking method_mapped_clean_Simmered,1
types of snack does it describe_mapped_clean_Antipasti,1
types of snack does it describe_mapped_clean_Bread,1
preparation or cooking method_mapped_clean_Braised,1
cuisines of origin_mapped_clean_Middle Eastern,1
"when, where or why does it explicitly suggest using or having the snack_mapped_clean_watching sports",1
preparation or cooking method_mapped_clean_Pressure cooked,1
explicitly claimed health or lifestyle benefits_mapped_clean_High in minerals,1
preparation or cooking method_mapped_clean_Marinated,1
types of snack does it describe_mapped_clean_Rice-cakes,1
taste profile_mapped_clean_Tart,1
cuisines of origin_mapped_clean_Greek,1
preparation or cooking method_mapped_clean_Charred,1
cuisines of origin_mapped_clean_Moroccan,1
preparation or cooking method_mapped_clean_Grilled,1
